,| 男性的 |,| 女性的 |,不分男女的 :,最常用於男性 = 男女,最常用於女性 = 女男,,,,,,
男,Alijah,,Elijah,英語（現代）,Elijah 的變種。,,,,,,
女,Aline,Linette (法語),Eileen,法語、葡萄牙語（巴西）、英語,艾德琳的中世紀縮寫形式。作為一個英語名字，在現代它有時被認為是艾琳的變體。這是法國歌手 Christophe 1965 年一首流行歌曲的名稱。,,,,,,
女,Alise (1),,,拉脫維亞語,Alice 的拉脫維亞形式。,,,,,,
女,Alise (2),"Ali, Allie, Ally",,英語（罕見）,Alice 的變體。,,,,,,
女,Alisha,"Lesia, Lisha, Lyssa, Lecia",,英語（罕見）,Alicia 的變體。,,,,,,
女,Alishia,"Lesia, Lisha, Lyssa, Lecia",,英語（罕見）,Alicia 的變體。,,,,,,
女,Alisia,"Lesia, Lisha, Lyssa, Lecia",,英語（罕見）,Alicia 的變體。,,,,,,
女,Alison,"Ali, Allie, Ally",,英語、法語,諾曼法語中 Aalis 的縮寫（見 Alice）。它在中世紀的英格蘭、蘇格蘭和法國很常見，後來在20世紀通過蘇格蘭在英格蘭復興。與大多數其他以 son 結尾的英語名字不同，它不是源自姓氏。,,,,,,
女,Alissa,"Lesia, Lisha, Lyssa, Lecia",,英語,Alyssa 的變體。,,,,,,
女,Alisya,"Lesia, Lisha, Lyssa, Lecia",,英語（罕見）,Alicia 的變體。,,,,,,
女,Alita,,,英語（罕見）,可能是 Alethea 的變體。,,,,,,
女,Alivia,"Liv, Livia, Livvy, Livy, Ollie",Olivia,英語（現代）,Alivia 的變體。,,,,,,
男,Allan,,,"丹麥文, 蘇格蘭文, 瑞典文, 愛沙尼亞文, 英語",艾倫的變種。美國作家愛倫坡（Edgar Allan Poe，1809-1849）的中間名來自收養他的父母的姓氏。,,,,,,
女,Allana,,,英語（罕見）,Alana 的變體。,,,,,,
女,Allannah,,,英語（罕見）,Alannah 的變體。,,,,,,
女,Allegra,,,義大利語、英語（罕見）,在義大利文的意思是「開朗、活潑」。它是由拜倫勳爵（1817-1822）的短命私生女所生。,,,,,,
男,Allen,,,英語,艾倫的變體，或源自同名的姓氏。這個名字的著名持有者是美國垮掉派詩人艾倫·金斯伯格（Allen Ginsberg，1926-1997）。另一位是美國電影導演兼演員伍迪艾倫（Woody Allen，1935-），他的藝名艾倫取自他的真名。,,,,,,
女男,Allie,,,英語,Alison、Alexandra 和其他以相同聲音開頭的名字的縮寫。 1984 年情境喜劇《凱特與艾莉》首映後，這個名字在美國 1000 強排行榜上缺席了 34 年後開始變得越來越受歡迎。,,,,,,
女,Allison,"Ali, Allie, Ally",,英語,從 20 世紀中葉起，這主要被用作女性名字 Alison 的變體。,,,,,,
女,Allissa,"Lesia, Lisha, Lyssa, Lecia",,英語（罕見）,Alyssa 的變體。,,,,,,
女,Ally,,,英語,艾莉森 (Alison)、亞歷珊卓 (Alexandra) 和其他以相同聲音開頭的名字的縮寫。 1997 年美國電視劇《甜心俏佳人》首映後，這個名字迅速流行起來。,,,,,,
女,Allycia,"Lesia, Lisha, Lyssa, Lecia",,英語（罕見）,Alicia 的變體。,,,,,,
男女,Allyn,,,英語,Alan 艾倫的變體或女性形式。,,,,,,
女,Allyson,"Ali, Allie, Ally",,英語,Alison 的變種。,,,,,,
女,Alma,,,英語、西班牙語、義大利語、荷蘭語、德語、瑞典語、挪威語、丹麥語、拉脫維亞語、立陶宛語、阿爾巴尼亞語、斯洛維尼亞語、克羅埃西亞語,這個名字在克里米亞阿爾瑪河附近發生的阿爾瑪戰役（1854年）後開始流行，最終英國和法國取得勝利。然而，這個名字在戰前很少被使用。它的靈感可能來自拉丁語almus“滋養”。它也與西班牙語中“靈魂”的意思相吻合。,,,,,,
男,Alonzo,,,英語（美式）,在美國使用的 Alonso 的變體。,,,,,,
女,Alora,,,英語（現代）,Elora 的變種。,,,,,,
男,Aloysius,,,英語,Aloys 的拉丁化形式，Louis 的古奧克西唐語形式。這是義大利聖人阿洛伊修斯·岡薩加（Aloysius Gonzaga，1568-1591 年）的名字。自他時代以來，這個名字在天主教徒中偶爾使用。,,,,,,
女男,Alpha,,,英語,來自希臘字母表中第一個字母的名稱 A。,,,,,,
男,Alphonso,,,英語,Alfonso 的變種。,,,,,,
男,Alphonzo,,,英語（罕見）,Alfonso 的罕見變異。,,,,,,
男,Alton,,,英語,源自於一個英語姓氏，源自一個地名，在古英語中意為「河源頭的城鎮」。,,,,,,
男,Alva,,,英語,Alva 的變種。這個名字的著名持有者是發明家托馬斯·阿爾瓦·愛迪生（Thomas Alva Edison，1847-1931）。,,,,,,
女,Alvena,,,英語,Alvin 的女性形式。,,,,,,
男,Alvin,,,英語、瑞典語,源自任何古英語名稱 Ælfwine、Æðelwine 或 Ealdwine 的中世紀形式。它在 19 世紀復興，部分源自於源自古英語名字的姓氏。作為一個斯堪的納維亞名字，它源自於 Alfvin，這是古挪威語中 Ælfwine 的同源詞。,,,,,,
女,Alvina,,,英語,Alvin 的女性形式。,,,,,,
女,Alyce,"Ali, Allie, Ally",,英語,Alice 的變種。,,,,,,
女,Alycia,"Lesia, Lisha, Lyssa, Lecia",,英語,Alicia 的變種。,,,,,,
女,Alys,"Ali, Allie, Ally",,英語,Alice 的變種。,,,,,,
女,Alysa,"Lesia, Lisha, Lyssa, Lecia",,英語（現代）,Alicia 的變種。,,,,,,
女,Alyse,"Ali, Allie, Ally",,英語（現代）,Alice 的變種。,,,,,,
女,Alysha,"Lesia, Lisha, Lyssa, Lecia",,英語（現代）,Alicia 的變種。,,,,,,
女,Alysia,"Lesia, Lisha, Lyssa, Lecia",,英語,Alicia 的變種。,,,,,,
女,Alyson,"Ali, Allie, Ally",,英語,Alison 的變種。,,,,,,
女,Alyssa,"Lesia, Lisha, Lyssa, Lecia",,英語,艾莉西亞的變種。這個拼寫可能受到了香薰花的影響，它的名字源自希臘語ἀ（a），一個否定前綴，結合λύσσα（lyssa），意思是“瘋狂，狂犬病”，因為人們相信它可以治愈瘋狂。,,,,,,
女,Alyssia,"Lesia, Lisha, Lyssa, Lecia",,英語（現代）,Alicia 的變種。,,,,,,
女,Alyx,,,英語（罕見）,Alex 的女性變體。,,,,,,
女,Amabel,"Bella, Mabel, Mabelle, Mable, Mae, May, Maybell, Maybelle, Mabella, Maybelline",,英語（罕見）,Amabilis 的中世紀女性形式。,,,,,,
女,Amanda,"Mandi, Mandy",,英語、西班牙語、葡萄牙語、義大利語、荷蘭語、瑞典語、挪威語、丹麥語、芬蘭語、匈牙利語、拉脫維亞語、晚期羅馬語,在某種程度上，這是 Amandus 的女性形式。然而，它在中世紀並未被使用。 17世紀，作家和詩人直接以拉丁語amanda為基礎重新創作了它，意思是「可愛的，值得愛的」。值得注意的是，劇作家科利·西伯 (Colley Cibber) 在他的戲劇《愛的最後轉變》(1696) 中使用了它作為一個角色。它在 19 世紀開始被常規使用。,,,,,,
女,Amaya,,,巴斯克語、西班牙語、英語（現代）,阿瑪亞的變種。在美國，這個名字於 1999 年因電視真人秀節目《真實世界》中的一名參賽者而流行起來。,,,,,,
女,Amayah,,,英語（現代）,Amaya 的變種。,,,,,,
女,Amber,"Abby, Bambi, Amy, Ambie, Amz",,英語、荷蘭語,來自英語單字 amber，表示由化石樹脂形成的寶石或橙黃色。這個字最終源自阿拉伯語 Ñ бур ('anbar)。它在 19 世紀末開始被用作名字，但直到凱瑟琳溫莎的小說《永遠的琥珀》（1944 年）出版後才開始流行。,,,,,,
女,Amberly,"Abby, Bambi, Amy, Ambie, Amz, Lee",,英語（現代）,Amber 的精雕細琢，受到金伯利 (Kimberly) 名字拼寫的影響。,,,,,,
女,Amberlynn,"Amber, Lynn, Amby, Amberly, Lynnie, Bambi",,英語（罕見）,使用流行名稱後綴 lyn 對 Amber 進行精製。,,,,,,
男,Ambrose,,,英語,源自晚期拉丁文名字Ambrosius，源自希臘文名字Ἀμβρόσιος (Ambrosios)，意思是「不朽」。聖安布羅斯是一位 4 世紀的神學家和米蘭主教，被認為是教會聖師。由於這位聖人的緣故，這個名字在基督教歐洲得到了普遍使用，儘管它在英國從未特別常見。,,,,,,
女,Ambrosine,"Ambro, Ambra, Rosie, Ambi, Brose, Brosie, Sine",,英語（罕見）,Ambrose 的女性形式。,,,,,,
女,Amelia,"Millie, Milly",,英語、西班牙語、義大利語、波蘭語、中世紀法語,Amalia 的變種，儘管有時會與起源不同的艾米莉亞混淆。 18世紀德國漢諾威王朝登上英國王位後，這個名字在英國開始流行——它是喬治二世和喬治三世的女兒所生的。作者亨利·菲爾丁（Henry Fielding）在他的小說《阿米莉亞》（Amelia，1751）中用它作為標題人物。另一位著名的攜帶者是阿米莉亞·埃爾哈特（Amelia Earhart，1897-1937），她是第一位獨自飛越大西洋的女性。這個名字在 20 世紀末變得越來越流行。這是2011年至2015年英格蘭和威爾斯最受歡迎的女孩名字。,,,,,,
女,America,,,英語,在英語世界中，這個名稱通常指美利堅合眾國（參見 Amerigo）。它在 19 世紀開始作為美國名字使用。,,,,,,
男女,Amery,,,英語（罕見）,Emery 的變種。,,,,,,
女,Amethyst,"Amy, Amme, Ammy",,英語（罕見）,來自紫色半寶石的名稱，源自希臘語否定前綴ἀ（a）和μέθυστος（methystos），意思是“陶醉的，醉酒的”，因為它被認為是一種防止醉酒的藥物。它是二月的傳統生日石。,,,,,,
女,Ami,,,英語,Amy 的變種。,,,,,,
男,Amias,,,英語（罕見）,Amyas 的變種。,,,,,,
女,Amie,,,英語,Amy 的變種。,,,,,,
女,Amilia,,,英語（罕見）,Amalia 或 Emilia 的變種。,,,,,,
女,Amity,,,英語（罕見）,源自英語單字，意思是“友誼”，最終源自拉丁語 amicitia。,,,,,,
女,Amora,,,英語（現代）,顯然是一個基於拉丁語 amor 的現代造詞，意思是「愛」。,,,,,,
男,Amos,,,"英語, 希伯來文, 聖經, 聖經拉丁文, 聖經希臘文, 聖經希伯來文",源自希伯來文 עָמַס ('amas)，意思是「負荷、負擔」。阿摩司是舊約十二小先知之一，也是《阿摩司書》的作者，這本書反對貪婪、腐敗和壓迫窮人。它大約寫於公元前 8 世紀，是最古老的預言書之一。作為一個英語名字，阿莫斯自新教改革以來一直被使用，並在清教徒中流行。,,,,,,
女,Amoura,,,英語（現代）,Amor 的變體（可能基於法國愛情）。,,,,,,
女,Amy,,,英語,古法語名字Amée的英語形式，意思是“心愛的”（現代法語aimée），是拉丁語Amata的白話形式。作為一個英語名稱，它在中世紀使用（儘管並不常見），並在 19 世紀復興。,,,,,,
男,Amyas,,,英語（罕見）,意思未知，可能是 Amis 的衍生字。或者，它可能來自一個姓氏，最初表明持有者來自法國亞眠市。埃德蒙·史賓塞在他的史詩《仙后》（The Faerie Queene，1590）中用這個名字來稱呼一個小角色。,,,,,,
女,Anabella,"Ann, Annie, Anna, Bella, Elle, Ellie, Abbie, Bell, Abelle, Anella, Abella, Ana'lle, Ana'lla, Allie, Nell, Nellie, Nella, Nallie, Nalla, Nallie, Bea, Lea",,英語（現代）,Annabel 的變種。,,,,,,
女,Anabelle,"Bella, Mabel, Mabella, Mabelle, Mable, Mae, May, Maybell, Maybelle, Maybelline",,英語（現代）,Annabel 的變種。,,,,,,
女,Anastasia,"Natasa, Tasia, Tasoula(希臘語) Asya, Nastasia, Nastasya, Nastia, Nastya, Stasya(俄語) Nastassia(白俄羅斯語) Stace, Stacey, Staci, Stacia, Stacie, Stacy, Stacee(英語)",Anastasiya(俄語) Anastasiya(烏克蘭語) Anastasiya(白俄羅斯語) Anastacia(西班牙語(拉丁美洲)),希臘語、俄語、烏克蘭語、白俄羅斯語、英語、西班牙語、義大利語、喬治亞語、古希臘語,Anastasius 的女性形式。這是一位 4 世紀達爾馬提亞聖人的名字，他在羅馬皇帝戴克里先的迫害中殉道。由於她的緣故，這個名字在東正教基督教中很常見（有各種拼寫形式）。作為一個英語名稱，它自中世紀以來一直在使用。一位著名的持有者是俄羅斯末代沙皇尼古拉二世最小的女兒，據傳她在 1918 年家人被處決時逃脫了死刑。,,,,,,
女,Anaya,,,英語（現代）,含義未知，可能來自西班牙姓氏 Anaya（本身來自西班牙城鎮的名稱），因為與 Amaya 相似而使用。,,,,,,
男,Anderson,,,英語,來自一個姓氏，意思是“Andrew 的兒子”。,,,,,,
女,Andi,,,英語,Andrea 的小個子。,,,,,,
男女,Andie,,,英語,Andrew 或 Andrea 的暱稱。,,,,,,
男,Andre,Dre,,英語、非裔美國人,André 的英語形式。,,,,,,
女,Andrea,Andi、Andie、Andy、Drea (英語) Ea (挪威語) Ea (丹麥語),,英語、德語、西班牙語、捷克語、斯洛伐克語、匈牙利語、瑞典語、挪威語、丹麥語、冰島語、荷蘭語、克羅埃西亞語、塞爾維亞語,Andrew 的女性形式。作為一個英語名稱，它自 17 世紀以來一直被使用，但直到 20 世紀才普遍使用。,,,,,,
男,Andrew,"Andie, Andy, Drew",,英語、聖經,希臘文名字Ἀνδρέας（Andreas）的英語形式，源自ἀνδρεῖος（andreios），意思是“男子氣概，陽剛”，是ἀνήρ（aner）的衍生詞，意思是“男人”。在新約聖經中，使徒安得烈是第一個加入耶穌的門徒，他是西門彼得的兄弟。據傳說，他後來在黑海地區傳教，有傳說說他被釘在X形十字架上。安德魯是一個希臘名字，可能只是他真正的希伯來名字的暱稱或翻譯，目前尚不清楚。這個名字在整個基督教世界很常見（有各種拼寫），並且在中世紀變得非常流行。聖安德魯被視為蘇格蘭、俄羅斯、希臘和羅馬尼亞的守護神。這個名字由三位匈牙利國王、美國總統安德魯·傑克遜（Andrew Jackson，1767-1845 年）以及最近的英國作曲家安德魯·勞埃德·韋伯（Andrew Lloyd Webber，1948-）使用。,,,,,,
女,Andrina,"Andi, Andie, Andy, Drea",,英語（罕見）,Andrew 的女性形式。,,,,,,
男女,Andy,,,英語,安德魯（Andrew）或有時安德里亞（Andrea）的小稱。美國普普藝術家和電影製片人安迪沃荷（Andy Warhol，1928-1987）是這個名字的著名持有者。,,,,,,
女,Anemone,,,英語（罕見）,來自銀蓮花的名字，它源自希臘語ἄνεμος（anemos），意思是“風”。,,,,,,
男女,Angel,Angjelko（馬其頓語）,,"英語, 保加利亞語, 馬其頓語",來自中世紀拉丁文男性名字Angelus，源自天上生物的名字（本身源自希臘文ἄγγελος（angelos），意思是「信差」）。它在英語世界中從來都不是很常見，在現代有時被用作女性名字。,,,,,,
女,Angela,"Angie (英語) Angelina, Lina (義大利語)",,英語、 義大利語、 德語、 荷蘭語、 羅馬尼亞語、 斯洛維尼亞語、 斯洛伐克語、 俄語、 馬其頓語、 希臘語、 晚期羅馬語,Angelus 的女性形式（參見 Angel）。作為一個英語名稱，它於18世紀開始使用。德國前總理梅克爾（Angela Merkel，1954 年－）就是一位著名的持有者。,,,,,,
女,Angelia,"Angie, Lia",,英語,Angela 的精緻造型。,,,,,,
女,Angelica,,Anjelica (英語),英語、義大利語、羅馬尼亞語、加洛林循環,源自拉丁語angelicus，意思是“天使”，最終與希臘語ἄγγελος（angelos）相關，意思是“信使”。詩人博亞多和阿里奧斯託在他們的奧蘭多詩歌（1483年和1532年）中使用了這個名字，其中她是奧蘭多和里納爾多的愛人。自 18 世紀以來，它一直被用作名字。,,,,,,
女,Angelina,"Lina (義大利語) Angie, Lina (英語) Lina (德語) Lina (西班牙語) Lina (葡萄牙語)",Anzhelina (俄語),義大利語、英語、俄語、保加利亞語、塞爾維亞語、德語、荷蘭語、西班牙語、葡萄牙語、希臘語、亞美尼亞語,Angela 的拉丁語縮寫。著名的持有者是美國女演員安潔莉娜裘莉（Angelina Jolie，1975-）。,,,,,,
女,Angelle,,,英語（罕見）,Angel 的女性變體。,,,,,,
女,Angie,,,英語,Angela 的小個子。 1973 年滾石樂隊的歌曲 Angie 使這個名字迅速流行起來。,,,,,,
男,Angus,Gus,,蘇格蘭語、愛爾蘭語、英語,Aonghus 的英語形式。,,,,,,
女,Anima (1),, ,印地語,來自梵文अणिमन (aṇiman)，意思是「微小」。在瑜珈經文中，這是讓自己變得無限渺小、無形無影的能力的名稱。,,,,,,
女,Anima (2),"Nema, Nima",,英語 (罕見),在拉丁語中的意思是「靈魂、精神」。在榮格心理學中，阿尼瑪是個人真正的內在自我，或是靈魂。,,,,,,
女,Anise,,,英語（罕見）,源自英語單字“茴香”。,,,,,,
